Partner,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Solomon Islands,1543147,1834376,2753570,2297431,5680255,5438181,5246192,6020700,4953653,6056589,7254847,8933554,6599026,5861309,9898289
Somalia,6165509,7020377,9133636,8831504,19945456,20693618,64345393,4099468,1457879,6081543,16734553,15959166,35653738,45026584,38827482
South Africa,2525541192,2819271402,3178505994,3906946741,4461696778,5521396823,6490469811,4452643478,5631664767,7271282389,7552773511,7293400316,6375482804,5457334993,4605242570
South Korea,22575758149,24072584914,26186736005,27571605977,32219124163,34401709969,34668671020,28611928167,38820637297,43461636035,42282565212,41648727506,44649563379,43484320510,42309379233
South Sudan,0,0,0,0,0,0,0,0,0,7361905,32540784,13417224,46148430,19613532,9739895
Spain,5297869109,5929861037,6542618569,6839116578,7401168666,9766108527,12189817902,8716930087,10355445923,11031589790,9551906914,10244036471,10199805485,10309932538,10397702482
Sri Lanka,171879128,154655509,164060189,197631294,236645925,227147226,283253936,229571323,178740142,303547816,223950414,311911749,350640136,361948145,368036403
Sudan,10813508,26199406,68358117,108105454,76924039,79129315,143305018,78414774,115617732,74694129,55491290,88268450,77168737,59514997,55492002
Suriname,124757210,192654612,179188616,245701079,258783296,303625324,406402258,380392824,362090799,433918837,499266829,449846279,519004152,443632080,302368768
Svalbard and Jan Mayen Island,617111,2909866,977832,5677609,5729024,926112,2204770,868604,7674628,2052453,125458,1633247,3394498,380164,148427
Swaziland,11469937,8222889,12383850,11856893,12091430,29002898,12120383,14552515,23582688,20075203,40226860,22681861,25679849,28521751,25610904
Sweden,3153002993,3223395766,3244171021,3715368620,4125937735,4472726015,5018258734,4560785212,4739888118,5265007755,5247930905,4318640022,4336699085,3939287895,3813888400
Switzerland,7782549475,8656375445,9279928575,10717528064,14375043637,17039261465,22023645856,17504409869,20703849321,24486242385,26406154155,26558942638,22204420118,22153698737,22776734657
Syrian Arab Republic,274076293,214010022,212978066,155049379,224314878,361420332,408864143,303870805,503311144,230164836,19471324,21644824,6845935,3072304,3490887
Taiwan,18381828531,17447883485,21585195883,21614496927,22709360952,25828669191,24926275971,18485640877,26050037333,25932497638,24337097719,25522769412,26675060570,25823169252,26037327541
Tajikistan,33129097,49959733,55704725,28786700,43090408,52685573,51428157,41171507,57013199,178246296,54186972,51874112,24503388,18985373,21323840
Tanzania; United Republic of,62686157,64740050,127644822,96443910,160673885,173961966,169325571,157948337,163499769,260183381,245389981,411953494,302129379,172816873,157566013
Thailand,4860186150,5835312939,6368436539,7256616259,7915383466,8336419189,9066556735,6918398273,8976381744,10929873027,10887802586,11797010707,11814963097,11229127122,10444885789
Togo,13790465,15238971,23709491,27928388,108427734,287594314,117125699,124798314,157620745,209689039,370550165,1007500845,1024635368,311816374,229441845
Tokelau Islands,18004307,15171726,25395831,79822527,44750446,55422404,39335534,12926185,3938459,4886393,13422094,828055,1387753,341222,2474242
Tonga,11011298,5738295,7293736,9685131,10537182,13233104,13730360,12942138,20678902,19269574,26892624,19238838,20031820,13817538,15198674
Trinidad and Tobago,1020211480,1063297413,1207578238,1416748479,1614598036,1779841581,2250213184,1988348722,1924931875,2185137885,2477825749,2408396126,2411378967,2511608542,2341302091
Tunisia,194809930,170508559,258166185,261166520,362970070,402999020,502430863,501332614,572780850,597007683,614865677,907186423,831395799,602417421,527267385
Turkey,3112992163,2900216978,3362263977,4238966194,5291178158,6498756060,9958671254,7094632437,10538481925,14695214372,12474727209,12078652726,11650079451,9520080048,9387950641
Turkmenistan,47128313,34203470,262259469,215170092,112840364,127290102,59705800,293658852,39965764,70967048,92019532,261778552,455524961,80832991,106203204
Turks and Caicos Islands,53585655,71891742,137423498,237752693,365682812,395783826,434413482,247865657,189434305,204953122,209629786,225789558,281915001,279679103,296600399
Tuvalu,70128,76572,322376,42460,64290,51512,130423,151784,620945,724161,612146,560260,591900,625636,1139541
Uganda,23973253,41692111,63360683,62573652,50551989,80348803,88525002,119061119,93513814,94038056,100125293,122740389,78262341,88310729,69056790
Ukraine,254811895,230558745,399400823,532954308,756245355,1342099159,1868037332,886859797,1348816161,2138824978,1936270509,1924811744,1239036086,862158955,1077261945
United Arab Emirates,3593182869,3508267529,4080037812,8119527357,10277016479,10786648688,14417398443,12210863357,11662455901,15921629417,22559108724,24476064517,22115343552,23005938593,22401496913
United Kingdom,33204699178,33827929642,35901658238,38568083046,45410106533,49981491297,53599069711,45703598254,48410311047,56033108347,54860484359,47361236230,53913170241,56095110874,55288857821
Uruguay,208561741,326494173,326063241,356676188,482235804,640772589,893056253,745087443,975277447,1258319413,1359476870,1754607247,1606555041,1295102796,1114550266
Uzbekistan,138527959,256091912,191991429,73826609,53894688,88754314,300659063,97536884,101148237,102560932,284611052,356435025,212945403,137962928,317880066
Vanuatu,852512,1266994,9467203,9138578,9059099,23948479,63755418,3903181,18940232,5152275,99515739,34439495,21196729,5867876,7813525
Vatican City,2897797,2963792,4155024,24181227,12037913,18266111,9275122,7351678,3193465,2291281,4803261,2467299,2573365,2226547,825344
Venezuela,4429657759,2830974363,4767416082,6420897723,9002343708,10200506826,12610041006,9315456954,10644795910,12383426246,17516968263,13200529914,11178341652,8343979212,5232755971
Viet Nam,580196885,1323781554,1105470811,1193152202,1100283809,1903057411,2789448762,3097194382,3705548752,4315220420,4622882579,5036763709,5732472749,7100540039,10100430184
Wallis and Futuna,241066,552136,168566,408737,178050,212545,706910,535497,778132,338897,602240,637535,350213,376841,225156
West Bank,278018,479325,238357,3720993,2272497,13009291,290252,620793,714402,1145816,1521509,894527,1755072,859737,1169369
Western Sahara,0,28112,22603,28656,16063,344442,91132,158569,53902,31131,58850,156076,276987,32113,93983
Yemen,366110013,191400003,232335659,219048520,254925318,642086903,401463803,381131640,397765730,389745032,469466337,518251949,368898721,158009761,171411285
Zambia,35735439,19460457,26399404,29113109,51633652,69394927,78704324,57273292,56415126,129784635,146788830,141148845,114121914,84170835,81634685
Zimbabwe,49320550,41675627,47297131,45540976,47583947,105250099,92874918,85459651,67565121,61598378,53478276,60513567,48706474,37844983,30061773
